VOLTAITEM;STAITEMNBR;IST-Bestand;VOLTAUOM;Beschreib;Ort;VOLTAITEM;STAITEMNBR;
C1000155-AA;ST0012399;3;EA;TESA POWERBOND MIRROR 55;Rework47;C1000155-AA;ST0012400;Consumable
C1000156-AA;ST0012400;114;EA;FOAM PADS 20X20X3 EPDM O;VolKontr;C1000156-AA;ST0012401;Consumable
C1000157-AA;ST0012401;98;EA;3M BUMPONS ROUND FI8 2MM;VolKontr;C1000157-AA;ST0012402;Consumable
C1000158-AA;ST0012402;21;EA;3M BUMPONS  SQUARE 18X18;Rework;C1000158-AA;ST0012403;Consumable
C1000159-AA;ST0012403;20;EA;3M BUMPONS  ROUND FI10 3;Rework;C1000159-AA;ST0012404;Consumable
C1000179-AA;ST0012422;0;EA;WASHER - CONTAINMENT PAR;VolKontr;C1000179-AA;ST0012423;Fasteners
C1000179-AA;ST0012422;8;EA;WASHER - CONTAINMENT PAR;22126131;C1000179-AA;ST0012423;Fasteners
C1000179-AA;ST0012422;0;EA;WASHER - CONTAINMENT PAR;22Linie6;C1000179-AA;ST0012423;Fasteners
C1000208-AA;ST0012446;4;EA;CONTROL BOX MOUNTING BRA;47124099;C1000208-AA;ST0012447;Metal Fabrication
C1000216-AA;ST0012453;300;EA;BRACKET COOLANT PIPE SUP;47J11204;C1000216-AA;ST0012454;Metal Fabrication
C1000216-AA;ST0012453;2;EA;BRACKET COOLANT PIPE SUP;47J07505;C1000216-AA;ST0012454;Metal Fabrication
C1000218-AA;ST0017426;6;EA;WEDGE DOOR RETAINER LOWE;22b25001;C1000218-AA;ST0017427;Metal Fabrication
C1000244-AA;ST0012473;209;EA;FERRITE 375OHM HINGED 25;Q-Kabel;C1000244-AA;ST0012474;Electronic components
C1000244-AA;ST0012473;0;EA;FERRITE 375OHM HINGED 25;47UZONE1;C1000244-AA;ST0012474;Electronic components
C1000245-AA;ST0012474;182;EA;FERRITE 240OHM HINGED 10;47J04509;C1000245-AA;ST0012475;Electronic components
C1000245-AA;ST0012474;44;EA;FERRITE 240OHM HINGED 10;U4003012;C1000245-AA;ST0012475;Electronic components
C1000245-AA;ST0012474;132;EA;FERRITE 240OHM HINGED 10;12042054;C1000245-AA;ST0012475;Electronic components
C1000245-AA;ST0012474;111;EA;FERRITE 240OHM HINGED 10;12032028;C1000245-AA;ST0012475;Electronic components
C1000246-AA;ST0012475;400;EA;FERRITE CORE 200 OHM HIN;U4503041;C1000246-AA;ST0012476;Electronic components
C1000247-AA;ST0012476;98;EA;FERRITE CORE 165 OHM HIN;12036309;C1000247-AA;ST0012477;Electronic components
C1000247-AA;ST0012476;26;EA;FERRITE CORE 165 OHM HIN;47J04301;C1000247-AA;ST0012477;Electronic components
C1000248-AA;ST0012477;215;EA;FERRITE 380OHM HINGED 18;Q-Kabel;C1000248-AA;ST0012478;Electronic components
C1000248-AA;ST0012477;2;EA;FERRITE 380OHM HINGED 18;VERSAND;C1000248-AA;ST0012478;Electronic components
C1000256-AA;ST0013815;2;EA;WE.STAR.TEC SNAP FERRITE;VERSAND;C1000256-AA;ST0013816;Electronic components
C1000256-AA;ST0013815;207;EA;WE.STAR.TEC SNAP FERRITE;Q-Kabel;C1000256-AA;ST0013816;Electronic components
C1000258-AA;ST0013817;70;EA;CONTROL STATION 2NC YELL;12036298;C1000258-AA;ST0013818;Fasteners
C1000258-AA;ST0013817;0;EA;CONTROL STATION 2NC YELL;47J06512;C1000258-AA;ST0013818;Fasteners
C1000258-AA;ST0013817;2;EA;CONTROL STATION 2NC YELL;12061000;C1000258-AA;ST0013818;Fasteners
C1000259-AA;ST0013818;3;EA;BATTERY ISOLATOR SWITCH;12043156;C1000259-AA;ST0013819;Electronic components
C1000259-AA;ST0013818;204;EA;BATTERY ISOLATOR SWITCH;W1004032;C1000259-AA;ST0013819;Electronic components
C1000262-AA;ST0016025;7;EA;VAC FORM NFC CARRIER;12061000;C1000262-AA;ST0016026;Interior Trim 
C1000262-AA;ST0016025;13;EA;VAC FORM NFC CARRIER;12043179;C1000262-AA;ST0016026;Interior Trim 
C1000262-AA;ST0016025;4;EA;VAC FORM NFC CARRIER;U5502012;C1000262-AA;ST0016026;Interior Trim 
C1000263-AA;ST0016026;1;EA;VAC FORM NFC BRACKET RH;12061000;C1000263-AA;ST0016027;Interior Trim 
C1000263-AA;ST0016026;13;EA;VAC FORM NFC BRACKET RH;12043178;C1000263-AA;ST0016027;Interior Trim 
C1000264-AA;ST0013819;20;EA;CABLE NEG BATTERY ISOLAT;V0505102;C1000264-AA;ST0013820;Wiring Harness
C1000264-AA;ST0013819;6;EA;CABLE NEG BATTERY ISOLAT;12043156;C1000264-AA;ST0013820;Wiring Harness
C1000264-AA;ST0013819;166;EA;CABLE NEG BATTERY ISOLAT;Q-Kabel;C1000264-AA;ST0013820;Wiring Harness
C1000264-AA;ST0013819;40;EA;CABLE NEG BATTERY ISOLAT;47A04004;C1000264-AA;ST0013820;Wiring Harness
C1000265-AA;ST0013820;24;EA;CABLE NEG 12V BATT TO IS;U5505022;C1000265-AA;ST0013821;Wiring Harness
C1000265-AA;ST0013820;23;EA;CABLE NEG 12V BATT TO IS;12061000;C1000265-AA;ST0013821;Wiring Harness
C1000265-AA;ST0013820;164;EA;CABLE NEG 12V BATT TO IS;Q-Kabel;C1000265-AA;ST0013821;Wiring Harness
C1000265-AA;ST0013820;5;EA;CABLE NEG 12V BATT TO IS;12043156;C1000265-AA;ST0013821;Wiring Harness
C1000265-AA;ST0013820;6;EA;CABLE NEG 12V BATT TO IS;47A01311;C1000265-AA;ST0013821;Wiring Harness
C1000265-AA;ST0013820;0;EA;CABLE NEG 12V BATT TO IS;47J05212;C1000265-AA;ST0013821;Wiring Harness
C1000265-AA;ST0013820;0;EA;CABLE NEG 12V BATT TO IS;47J05304;C1000265-AA;ST0013821;Wiring Harness
C1000267-AA;ST0013822;180;EA;CABLE POS ISOLATOR TO BA;Q-Kabel;C1000267-AA;ST0013823;Wiring Harness
C1000267-AA;ST0013822;0;EA;CABLE POS ISOLATOR TO BA;47J05304;C1000267-AA;ST0013823;Wiring Harness
C1000267-AA;ST0013822;17;EA;CABLE POS ISOLATOR TO BA;12043156;C1000267-AA;ST0013823;Wiring Harness
C1000267-AA;ST0013822;20;EA;CABLE POS ISOLATOR TO BA;V0505102;C1000267-AA;ST0013823;Wiring Harness
C1000275-AA;ST0019840;53;EA;SPEED LIMIT LABEL 70KMH;47j11105;C1000275-AA;ST0019841;Others (Sealing, NVH, Hoses, …)
C1000276-AA;ST0019841;13;EA;SPEED LIMIT LABEL 80KMH;47124099;C1000276-AA;ST0019842;Others (Sealing, NVH, Hoses, …)
C1000277-AA;ST0019842;11;EA;SPEED LIMIT LABEL 90KMH;47124099;C1000277-AA;ST0019843;Others (Sealing, NVH, Hoses, …)
C1000286-AA;ST0020235;-14;EA;VIN LABEL;12039999;C1000286-AA;ST0020236;Metal Fabrication
C1000287-AA;ST0020238;9;EA;TYPE APPROVAL LABEL;12032038;C1000287-AA;ST0020239;Metal Fabrication
C1000288-AA;ST0019843;0;EA;FIRE EXTINGUISHER;47j11105;C1000288-AA;ST0019844;Others (Sealing, NVH, Hoses, …)
C1000288-AA;ST0019843;-3;EA;FIRE EXTINGUISHER;47129999;C1000288-AA;ST0019844;Others (Sealing, NVH, Hoses, …)
C1000289-AA;ST0018913;277;EA;DOOR LOWER CORNER RETENT;22121092;C1000289-AA;ST0018914;Metal Fabrication
C1000290-AA;ST0018914;276;EA;DOOR LOWER CORNER RETENT;22121092;C1000290-AA;ST0018915;Metal Fabrication
C1000296-AA;ST0017427;8 000,00;EA;ADHESIVE SEALING PATCH -;U7001022;C1000296-AA;ST0017428;Consumable
C1000297-AB;ST0025174;2;EA;WHEEL CARRIER SUPPORT PL;12061000;C1000297-AB;ST0025175;Metal Fabrication
C1000297-AB;ST0025174;20;EA;WHEEL CARRIER SUPPORT PL;W1001012;C1000297-AB;ST0025175;Metal Fabrication
C1000298-AA;ST0018915;8;EA;CHARGE PORT SUPPORT BRAC;47124099;C1000298-AA;ST0018916;Metal Fabrication
C1000303-AA;ST0018355;78;EA;LV HARNESS PRIVATE CAN I;Q-Kabel;C1000303-AA;ST0018356;Wiring Harness
C1000304-AA;ST0018356;32;EA;LV HARNESS PRIVATE CAN I;Q-Kabel;C1000304-AA;ST0018357;Wiring Harness
C1000316-AA;ST0018635;9;EA;BRACKET LV HARNESS SUPPO;12061000;C1000316-AA;ST0018636;Metal Fabrication
C1000316-AA;ST0018635;1;EA;BRACKET LV HARNESS SUPPO;47j09105;C1000316-AA;ST0018636;Metal Fabrication
C1000320-AA;ST0018916;10;EA;DATALOGGER INTERFACE;Q-Kabel;C1000320-AA;ST0018917;Wiring Harness
C1000323-AA;ST0020220;115;EA;FRONT WHEEL ARCH BRACE B;12036058;C1000323-AA;ST0020221;Metal Fabrication
C1000332-AA;ST0020008;0;EA;NVH FRWD UPR ROOF SHROUD;22I22112;C1000332-AA;ST0020009;Interior Trim 
C1000332-AA;ST0020008;4;EA;NVH FRWD UPR ROOF SHROUD;12034018;C1000332-AA;ST0020009;Interior Trim 
C1000332-AA;ST0020008;90;EA;NVH FRWD UPR ROOF SHROUD;47J07407;C1000332-AA;ST0020009;Interior Trim 
C1000332-AA;ST0020008;30;EA;NVH FRWD UPR ROOF SHROUD;U1002031;C1000332-AA;ST0020009;Interior Trim 
C1000332-AA;ST0020008;16;EA;NVH FRWD UPR ROOF SHROUD;Rework47;C1000332-AA;ST0020009;Interior Trim 
C1000333-AA;ST0020009;0;EA;NVH REAR UPR ROOF SHROUD;22I22112;C1000333-AA;ST0020010;Interior Trim 
C1000333-AA;ST0020009;16;EA;NVH REAR UPR ROOF SHROUD;Rework47;C1000333-AA;ST0020010;Interior Trim 
C1000333-AA;ST0020009;3;EA;NVH REAR UPR ROOF SHROUD;12034018;C1000333-AA;ST0020010;Interior Trim 
C1000333-AA;ST0020009;120;EA;NVH REAR UPR ROOF SHROUD;U1002031;C1000333-AA;ST0020010;Interior Trim 
C1000333-AA;ST0020009;240;EA;NVH REAR UPR ROOF SHROUD;U5504041;C1000333-AA;ST0020010;Interior Trim 
C1000334-AA;ST0020010;4;EA;NVH L SHAPE ROOF SHROUD;Rework47;C1000334-AA;ST0020011;Interior Trim 
C1000334-AA;ST0020010;120;EA;NVH L SHAPE ROOF SHROUD;U5501042;C1000334-AA;ST0020011;Interior Trim 
C1000334-AA;ST0020010;62;EA;NVH L SHAPE ROOF SHROUD;12034018;C1000334-AA;ST0020011;Interior Trim 
C1000336-AA;ST0020011;7;EA;NVH SQR ROOF SHROUD;Rework47;C1000336-AA;ST0020012;Interior Trim 
C1000336-AA;ST0020011;32;EA;NVH SQR ROOF SHROUD;12034018;C1000336-AA;ST0020012;Interior Trim 
C1000336-AA;ST0020011;30;EA;NVH SQR ROOF SHROUD;47J07407;C1000336-AA;ST0020012;Interior Trim 
C1000338-AA;ST0020012;60;EA;NVH LWR ROOF SHROUD;47J07303;C1000338-AA;ST0020013;Interior Trim 
C1000338-AA;ST0020012;8;EA;NVH LWR ROOF SHROUD;Rework47;C1000338-AA;ST0020013;Interior Trim 
C1000338-AA;ST0020012;120;EA;NVH LWR ROOF SHROUD;U1003011;C1000338-AA;ST0020013;Interior Trim 
C1000339-AA;ST0020013;40;EA;NVH LWR REAR LH ROOF SHR;47J07303;C1000339-AA;ST0020014;Interior Trim 
C1000339-AA;ST0020013;8;EA;NVH LWR REAR LH ROOF SHR;Rework47;C1000339-AA;ST0020014;Interior Trim 
C1000339-AA;ST0020013;120;EA;NVH LWR REAR LH ROOF SHR;U5501042;C1000339-AA;ST0020014;Interior Trim 
C1000341-AA;ST0020014;6;EA;NVH LWR REAR RH ROOF SHR;Rework47;C1000341-AA;ST0020015;Interior Trim 
C1000341-AA;ST0020014;120;EA;NVH LWR REAR RH ROOF SHR;U5501042;C1000341-AA;ST0020015;Interior Trim 
C1000341-AA;ST0020014;40;EA;NVH LWR REAR RH ROOF SHR;U1002031;C1000341-AA;ST0020015;Interior Trim 
C1000341-AA;ST0020014;0;EA;NVH LWR REAR RH ROOF SHR;22I22112;C1000341-AA;ST0020015;Interior Trim 
C1000358-AA;ST0019720;6;EA;MAIN FLOOR NVH;Rework47;C1000358-AA;ST0019721;Others (Sealing, NVH, Hoses, …)
C1000359-AA;ST0019721;6;EA;NVH AFT -  MAIN FLOOR;Rework47;C1000359-AA;ST0019722;Others (Sealing, NVH, Hoses, …)
C1000361-AA;ST0019069;458;EA;WORM DRIVE CLAMP 16-25MM;12034028;C1000361-AA;ST0019070;Fasteners
C1000361-AA;ST0019069;0;EA;WORM DRIVE CLAMP 16-25MM;47A04305;C1000361-AA;ST0019070;Fasteners
C1000362-AA;ST0019070;0;EA;WORM DRIVE CLAMP 25-40MM;22G26121;C1000362-AA;ST0019071;Fasteners
C1000362-AA;ST0019070;0;EA;WORM DRIVE CLAMP 25-40MM;47J11216;C1000362-AA;ST0019071;Fasteners
C1000362-AA;ST0019070;160;EA;WORM DRIVE CLAMP 25-40MM;12043189;C1000362-AA;ST0019071;Fasteners
C1000362-AA;ST0019070;4;EA;WORM DRIVE CLAMP 25-40MM;47A04305;C1000362-AA;ST0019071;Fasteners
C1000362-AA;ST0019070;12;EA;WORM DRIVE CLAMP 25-40MM;12064000;C1000362-AA;ST0019071;Fasteners
C1000362-AA;ST0019070;149;EA;WORM DRIVE CLAMP 25-40MM;12043046;C1000362-AA;ST0019071;Fasteners
C1000362-AA;ST0019070;27;EA;WORM DRIVE CLAMP 25-40MM;12042054;C1000362-AA;ST0019071;Fasteners
C1000364-AA;ST0019723;8;EA;ANOTHER NVH NEEDS RENAMI;Rework47;C1000364-AA;ST0019724;Others (Sealing, NVH, Hoses, …)
C1000365-AA;ST0019724;8;EA;ANOTHER NVH NEEDS RENAMI;Rework47;C1000365-AA;ST0019725;Others (Sealing, NVH, Hoses, …)
C1000366-AA;ST0019725;8;EA;ANOTHER NVH NEEDS RENAMI;Rework47;C1000366-AA;ST0019726;Others (Sealing, NVH, Hoses, …)
C1000367-AA;ST0019726;8;EA;ANOTHER NVH NEEDS RENAMI;Rework47;C1000367-AA;ST0019727;Others (Sealing, NVH, Hoses, …)
C1000368-AA;ST0019071;1 000,00;EA;RIVNUT M5 COUNTERSUNK;Rework47;C1000368-AA;ST0019072;Fasteners
C1000371-AA;ST0019072;10;EA;TOOLBOX - REINFORCEMENT;47124099;C1000371-AA;ST0019073;Metal Fabrication
C1000371-AA;ST0019072;5;EA;TOOLBOX - REINFORCEMENT;12061000;C1000371-AA;ST0019073;Metal Fabrication
C1000371-AA;ST0019072;0;EA;TOOLBOX - REINFORCEMENT;47UKONTR;C1000371-AA;ST0019073;Metal Fabrication
C1000372-AA;ST0019073;22;EA;TOOL BOX MOUNTING L- BRA;47124099;C1000372-AA;ST0019074;Metal Fabrication
C1000372-AA;ST0019073;18;EA;TOOL BOX MOUNTING L- BRA;47UKONTR;C1000372-AA;ST0019074;Metal Fabrication
C1000372-AA;ST0019073;0;EA;TOOL BOX MOUNTING L- BRA;47j03006;C1000372-AA;ST0019074;Metal Fabrication
C1000372-AA;ST0019073;-6;EA;TOOL BOX MOUNTING L- BRA;47129999;C1000372-AA;ST0019074;Metal Fabrication
